,date,pm2.5,pm10,o3,no2
339,2021-02-21,53.0,28.0,8.0,18.0
340,2021-02-22,71.0,14.0,26.0,8.0
341,2021-02-23,42.0,17.0,24.0,7.0
342,2021-02-24,35.0,15.0,23.0,22.0
343,2021-02-25,36.0,18.0,18.0,20.0
344,2021-02-26,51.0,24.0,21.0,20.0
345,2021-02-27,65.0,24.0,19.0,12.0
346,2021-02-28,67.0,31.0,14.0,13.0
347,2021-03-01,87.0,42.0,10.0,14.0
348,2021-03-02,112.0,47.0,19.0,19.0
349,2021-03-03,126.0,21.0,21.0,14.0
350,2021-03-04,56.0,15.0,21.0,10.0
351,2021-03-05,26.0,13.0,23.0,11.0
352,2021-03-06,31.0,18.0,25.0,12.0
353,2021-03-07,61.0,36.0,12.0,24.0
354,2021-03-08,88.0,24.0,28.0,22.0
355,2021-03-09,57.0,17.0,26.0,6.0
356,2021-03-10,46.0,17.0,27.0,8.0
357,2021-03-11,33.0,12.0,29.0,6.0
358,2021-03-12,29.0,9.0,30.0,13.0
359,2021-03-13,23.0,9.0,20.0,23.0
360,2021-03-14,26.0,16.0,25.0,17.0
361,2021-03-15,40.0,19.0,19.0,17.0
362,2021-03-16,40.0,23.0,17.0,15.0
363,2021-03-17,50.0,21.0,21.0,15.0
364,2021-03-18,52.0,11.0,24.0,10.0
365,2021-03-19,30.0,13.0,18.0,16.0
366,2021-03-20,40.0,14.0,24.0,9.0
367,2021-03-21,40.0,21.0,17.0,17.0
368,2021-03-22,55.0,21.0,27.0,11.0
369,2021-03-23,60.0,24.0,24.0,9.0
370,2021-03-24,61.0,12.0,29.0,8.0
371,2021-03-25,30.0,11.0,28.0,5.0
372,2021-03-26,24.0,12.0,28.0,5.0
373,2021-03-27,28.0,17.0,33.0,2.0
374,2021-03-28,36.0,17.0,32.0,6.0
375,2021-03-29,39.0,25.0,34.0,23.0
376,2021-03-30,54.0,39.0,23.0,32.0
377,2021-03-31,82.0,33.0,26.0,13.0
378,2020-10-01,17.0,11.0,12.0,14.0
379,2020-10-02,20.0,9.0,17.0,7.0
380,2020-10-03,23.0,4.0,22.0,4.0
381,2020-10-04,13.0,9.0,19.0,7.0
382,2020-10-05,20.0,8.0,16.0,6.0
383,2020-10-06,15.0,11.0,14.0,9.0
384,2020-10-07,19.0,8.0,16.0,8.0
385,2020-10-08,17.0,10.0,13.0,17.0
386,2020-10-09,27.0,9.0,13.0,13.0
387,2020-10-10,19.0,8.0,11.0,10.0
388,2020-10-11,19.0,9.0,13.0,13.0
389,2020-10-12,25.0,11.0,11.0,13.0
390,2020-10-13,23.0,13.0,15.0,11.0
391,2020-10-14,25.0,9.0,13.0,12.0
392,2020-10-15,20.0,13.0,12.0,14.0
393,2020-10-16,28.0,10.0,15.0,10.0
394,2020-10-17,25.0,15.0,9.0,13.0
395,2020-10-18,43.0,17.0,23.0,10.0
396,2020-10-19,42.0,20.0,20.0,6.0
397,2020-10-20,38.0,11.0,23.0,10.0
398,2020-10-21,24.0,16.0,22.0,8.0
399,2020-10-22,21.0,14.0,21.0,9.0
400,2020-10-23,22.0,12.0,27.0,5.0
401,2020-10-24,17.0,10.0,21.0,7.0
402,2020-10-25,23.0,15.0,17.0,10.0
403,2020-10-26,29.0,15.0,18.0,9.0
404,2020-10-27,22.0,17.0,20.0,9.0
405,2020-10-28,27.0,15.0,24.0,10.0
406,2020-10-29,24.0,13.0,24.0,9.0
407,2020-10-30,14.0,17.0,23.0,9.0
408,2020-10-31,26.0,18.0,26.0,6.0
409,2020-11-01,24.0,15.0,24.0,7.0
410,2020-11-02,25.0,15.0,21.0,19.0
411,2020-11-03,24.0,22.0,6.0,28.0
412,2020-11-04,47.0,48.0,1.0,31.0
413,2020-11-05,102.0,51.0,3.0,30.0
414,2020-11-06,111.0,39.0,1.0,24.0
415,2020-11-07,90.0,37.0,2.0,17.0
416,2020-11-08,90.0,17.0,7.0,16.0
417,2020-11-09,37.0,16.0,16.0,16.0
418,2020-11-10,34.0,14.0,20.0,9.0
419,2020-11-11,26.0,16.0,24.0,9.0
420,2020-11-12,25.0,16.0,20.0,14.0
421,2020-11-13,22.0,16.0,23.0,8.0
422,2020-11-14,32.0,12.0,26.0,6.0
423,2020-11-15,20.0,15.0,25.0,10.0
424,2020-11-16,25.0,14.0,25.0,7.0
425,2020-11-17,22.0,18.0,25.0,10.0
426,2020-11-18,29.0,13.0,23.0,22.0
427,2020-11-19,29.0,14.0,23.0,18.0
428,2020-11-20,30.0,11.0,26.0,9.0
429,2020-11-21,21.0,13.0,12.0,34.0
430,2020-11-22,25.0,20.0,16.0,25.0
431,2020-11-23,48.0,14.0,19.0,11.0
432,2020-11-24,24.0,20.0,14.0,12.0
433,2020-11-25,41.0,22.0,7.0,24.0
434,2020-11-26,58.0,27.0,1.0,25.0
435,2020-11-27,74.0,42.0,1.0,26.0
436,2020-11-28,105.0,29.0,9.0,22.0
437,2020-11-29,83.0,16.0,13.0,19.0
438,2020-11-30,53.0,12.0,15.0,18.0
439,2020-12-01,30.0,22.0,4.0,28.0
440,2020-12-02,57.0,10.0,14.0,19.0
441,2020-12-03,29.0,12.0,12.0,19.0
442,2020-12-04,38.0,15.0,17.0,16.0
443,2020-12-05,36.0,17.0,9.0,18.0
444,2020-12-06,56.0,20.0,5.0,23.0
445,2020-12-07,62.0,21.0,2.0,25.0
446,2020-12-08,69.0,15.0,9.0,20.0
447,2020-12-09,43.0,18.0,13.0,15.0
448,2020-12-10,42.0,13.0,16.0,22.0
449,2020-12-11,35.0,14.0,7.0,32.0
450,2020-12-12,42.0,9.0,23.0,13.0
