date, pm25, pm10, no2
2017/11/7, 48, 12, 27
2017/11/8, 38, 22, 42
2017/11/9, 59, 15, 30
2017/11/10, 38, 14, 36
2017/11/11, 49, 8, 14
2017/11/12, 28, 11, 25
2017/11/13, 37, 19, 42
2017/11/14, 53, 22, 42
2017/11/15, 63, 18, 42
2017/11/16, 54, 19, 40
2017/11/17, 53, 15, 37
2017/11/18, 51, 15, 35
2017/11/19, 43, 15, 41
2017/11/20, 46, 19, 45
2017/11/21, 50, 20, 43
2017/11/22, 55, 16, 46
2017/11/23, 39, 19, 39
2017/11/24, 50, 17, 37
2017/11/25, 50, 14, 34
2017/11/26, 35, 12, 37
2017/11/27, 34, 12, 30
2017/11/28, 34, 9, 20
2017/11/29, 30, 9, 21
2017/11/30, 31, 11, 26
2017/12/1, 33, 21, 42
2017/12/2, 63, 14, 27
2017/12/3, 50, 17, 36
2017/12/4, 45, 16, 46
2017/12/5, 50, 18, 56
2017/12/6, 49, 13, 36
2017/12/7, 36, 8, 26
2017/12/8, 22, 18, 45
2017/12/9, 47, 13, 35
2017/12/10, 41, 12, 30
2017/12/11, 39, 26, 53
2017/12/12, 73, 14, 47
2017/12/13, 40, 17, 50
2017/12/14, 46, 11, 29
2017/12/15, 34, 14, 31
2017/12/16, 41, 16, 37
2017/12/17, 55, 18, 37
2017/12/18, 53, 31, 53
2017/12/19, 88, 19, 43
2017/12/20, 68, 16, 41
2017/12/21, 59, 14, 36
2017/12/22, 53, 9, 31
2017/12/23, 37, 5, 27
2017/12/24, 21, 7, 17
2017/12/25, 27, 6, 28
2017/12/26, 20, 4, 18
2017/12/27, 14, 14, 42
2017/12/28, 46, 9, 43
2017/12/29, 33, 12, 36
2017/12/30, 40, 8, 38
2017/12/31, 23, 8, 33
2017/7/1, 37, 11, 18
2017/7/2, 27, 13, 29
2017/7/3, 36, 17, 43
2017/7/4, 47, 22, 44
2017/7/5, 57, 34, 53
2017/7/6, 84, 11, 30
2017/7/7, 10, 14, 24
2017/7/8, 49, 22, 50
2017/7/9, 58, 15, 29
2017/7/10, 43, 16, 41
2017/7/11, 42, 13, 28
2017/7/12, 32, 23, 52
2017/7/13, 51, 12, 19
2017/7/14, 31, 16, 31
2017/7/15, 45, 10, 17
2017/7/16, 29, 20, 33
2017/7/17, 34, 28, 36
2017/7/18, 50, 25, 44
2017/7/19, 65, 16, 30
2017/7/20, 39, 20, 36
2017/7/21, 49, 15, 40
2017/7/22, 42, 14, 29
2017/7/23, 40, 9, 14
2017/7/24, 28, 15, 24
2017/7/25, 46, 19, 40
2017/7/26, 51, 20, 35
2017/7/27, 45, 17, 33
2017/7/28, 41, 17, 39
2017/7/29, 45, 10, 27
2017/7/30, 27, 18, 34
2017/7/31, 42, 16, 36
2017/8/1, 39, 15, 34
2017/8/2, 37, 18, 32
2017/8/3, 40, 15, 36
2017/8/4, 37, 11, 22
2017/8/5, 33, 15, 34
2017/8/6, 41, 16, 37
2017/8/7, 41, 11, 22
2017/8/8, 36, 9, 22
2017/8/9, 26, 17, 29
2017/8/10, 39, 19, 39
2017/8/11, 52, 8, 18
2017/8/12, 25, 13, 25
2017/8/13, 36, 22, 52
2017/8/14, 54, 14, 29
2017/8/15, 40, 20, 42
2017/8/16, 47, 18, 36
2017/8/17, 50, 14, 32
2017/8/18, 33, 11, 24
2017/8/19, 25, 14, 30
2017/8/20, 31, 17, 33
2017/8/21, 49, 35, 36
2017/8/22, 87, 26, 37
2017/8/23, 72, 15, 32
2017/8/24, 42, 31, 47
2017/8/25, 66, 24, 37
2017/8/26, 68, 24, 32
2017/8/27, 73, 43, 49
2017/8/28, 111, 28, 35
2017/8/29, 77, 10, 24
2017/8/30, 14, 17, 40
2017/8/31, 46, 17, 31
2017/9/1, 52, 20, 39
2017/9/2, 57, 15, 29
2017/9/3, 41, 6, 38
2017/9/4, 21, , 33
2017/9/10, 32, 12, 28
2017/9/11, 33, 12, 29
2017/9/12, 33, 11, 28
2017/9/13, 27, 9, 27
2017/9/14, 26, 11, 28
2017/9/15, 35, 10, 23
2017/9/16, 36, 9, 22
2017/9/17, 34, 11, 22
2017/9/18, 33, 15, 34
2017/9/19, 47, 23, 53
2017/9/20, 61, 20, 52
2017/9/21, 55, 18, 47
