date, pm25, pm10, o3, no2, so2, co
2015/6/19, 41, 21, 15, 42, 4, 5
2015/6/20, 63, 16, 12, 29, 4, 5
2015/6/21, 47, 17, 17, 38, 4, 5
2015/6/22, 42, 11, 17, 27, 2, 4
2015/6/23, 36, 23, 7, 73, 5, 7
2015/6/24, 65, 26, 6, 67, 6, 8
2015/6/25, 72, 23, 7, 69, 5, 7
2015/6/26, 65, 16, 11, 47, 4, 6
2015/6/27, 54, 22, 8, 48, 5, 7
2015/6/28, 60, 20, 9, 59, 5, 7
2015/6/29, 59, 23, 13, 70, 5, 7
2015/6/30, 62, 29, 16, 84, 4, 8
2015/1/1, 69, 17, 17, 25, 2, 4
2015/1/2, 36, 13, 7, 30, 2, 4
2015/1/3, 37, 33, 1, 35, 4, 6
2015/1/4, 84, 28, 4, 42, 5, 6
2015/1/5, 70, 18, 6, 36, 4, 6
2015/1/6, 46, 22, 8, 42, 4, 7
2015/1/7, 53, 20, 11, 41, 4, 7
2015/1/8, 45, 20, 13, 39, 4, 7
2015/1/9, 47, 11, 12, 25, 2, 6
2015/1/10, 25, 20, 7, 41, 3, 7
2015/1/11, 46, 16, 17, 40, 4, 8
2015/1/12, 43, 17, 12, 49, 6, 9
2015/1/13, 46, 18, 12, 47, 5, 8
2015/1/14, 44, 20, 18, 45, 5, 9
2015/1/15, 49, 25, 10, 35, 3, 9
2015/1/16, 50, , , , , 
2015/1/18, 70, 23, 6, 27, 3, 5
2015/1/19, 60, 40, 6, 48, 7, 7
2015/1/20, 90, 32, 9, 40, 4, 7
2015/1/21, 75, 38, 1, 25, 2, 8
2015/1/22, 97, 52, 1, 51, 8, 12
2015/1/23, 122, 18, 11, 24, 2, 7
2015/1/24, 35, 36, 2, 44, 5, 10
2015/1/25, 67, 14, 4, 35, 4, 8
2015/1/26, 40, , 2, 46, 6, 11
2015/2/2, 50, 17, 8, 24, 2, 4
2015/2/3, 46, 17, 8, 25, 2, 4
2015/2/4, 47, 14, 10, 19, 1, 4
2015/2/5, 36, 14, 10, 15, , 4
2015/2/6, 35, 14, 11, 18, 1, 4
2015/2/7, 47, 24, 14, 22, 2, 5
2015/2/8, 51, 29, 7, 27, 3, 6
2015/2/9, 71, 37, 7, 43, 5, 8
2015/2/10, 74, 38, 8, 32, 5, 7
2015/2/11, 90, 48, 1, 39, 5, 7
2015/2/12, 116, 40, 5, 45, 4, 6
2015/2/13, 92, 17, 8, 31, 2, 4
2015/2/14, 45, 36, 4, 30, 3, 6
2015/2/15, 86, 34, 6, 40, 5, 6
2015/2/16, 80, 15, 13, 16, 1, 3
2015/2/17, 36, 37, 4, 57, 6, 7
2015/2/18, 74, 26, 9, 42, 5, 6
2015/2/19, 59, 17, 5, 36, 3, 6
2015/2/20, 42, 15, 7, 27, 3, 5
2015/2/21, 35, 14, 2, 39, 4, 7
2015/2/22, 42, 24, 6, 49, 6, 8
2015/2/23, 50, 23, , 37, 5, 8
2015/2/24, 48, 26, , 41, 5, 8
2015/2/25, 52, 13, , 31, 3, 5
2015/2/26, 27, 29, 4, 48, 6, 5
2015/2/27, 64, 19, 12, 34, 4, 
2015/2/28, 43, 20, 15, 28, 3, 1
2015/3/1, 41, 18, 11, 38, 5, 3
2015/3/2, 40, 21, 11, 45, 5, 6
2015/3/3, 45, 18, 16, 29, 2, 4
2015/3/4, 39, 31, 5, 46, 6, 6
2015/3/5, 66, 24, 9, 46, 4, 5
2015/3/6, 56, 35, 8, 43, 4, 6
2015/3/7, 75, 26, 12, 35, 4, 5
2015/3/8, 58, 23, 9, 37, 4, 5
2015/3/9, 57, 23, 12, 30, 3, 4
2015/3/10, 50, 43, 9, 44, 5, 7
2015/3/11, 97, 40, 7, 41, 4, 3
2015/3/12, 91, 29, 12, 30, 2, 2
2015/3/13, 72, 21, 20, 13, , 2
2015/3/14, 57, 29, 14, 13, , 2
2015/3/15, 71, 40, 5, 31, 3, 4
2015/3/16, 99, 58, 4, 25, 2, 4
2015/3/17, 152, 49, 20, 18, , 3
2015/3/18, 131, 37, 21, 21, , 3
2015/3/19, 91, 44, 24, 41, 3, 5
2015/3/20, 104, 14, 18, 17, 1, 2
2015/3/21, 37, 14, 20, 21, 1, 3
2015/3/22, 34, 25, 5, 41, 4, 6
2015/3/23, 70, 18, 12, 32, 3, 4
2015/3/24, 43, 30, 10, 35, 3, 6
2015/3/25, 70, 17, 14, 32, 4, 1
2015/3/26, 42, 24, 7, 46, 6, 2
2015/3/27, 54, 20, 9, 31, 4, 2
2015/3/28, 54, 15, 13, 28, 3, 2
2015/3/29, 33, 18, 12, 34, 4, 3
2015/3/30, 41, 12, 17, 20, 1, 4
2015/3/31, 23, 18, 16, 34, 3, 
2014/10/1, 69, 31, 3, 36, 3, 5
2014/10/2, 68, 36, 3, 47, 4, 6
2014/10/3, 82, 22, 10, 22, 1, 3
