Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000333,Greenwich 021,330,"11,314", -   , -   , -   ,487,"1,410", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"3,252",17,
E02000334,Greenwich 022,628,"21,325", -   , -   , -   ,487,"1,413", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,513",27,
E02000335,Greenwich 023,284,"9,258","102,509", -   , -   ,487,"1,413", -   , -   , -   , -   , -   , -   , -   , -   ,"10,135", -   ,124,
E02000336,Greenwich 024,647,"21,257", -   , -   , -   ,487,"5,075", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,714",29,
E02000337,Greenwich 025,75,"2,555", -   , -   , -   ,602,819, -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,225",8,
E02000338,Greenwich 026,655,"21,520", -   , -   , -   ,443,"5,273",490, -   , -   ,137, -   , -   , -   , -   , -   ,"3,111",32,
E02000339,Greenwich 027,306,"10,470","33,639", -   , -   ,551,"1,501",163, -   , -   ,137, -   , -   , -   , -   ,"1,830","10,390",59,
E02000340,Greenwich 028,164,"4,602", -   , -   , -   ,488,"5,667", -   , -   ,713, -   , -   , -   , -   , -   , -   ,"3,233",15,
E02000341,Greenwich 029,947,"29,999", -   , -   , -   ,487,"1,410",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,273",37,
E02000342,Greenwich 030,921,"31,413", -   , -   , -   ,608,"1,501",163, -   , -   , -   , -   , -   , -   , -   , -   ,"3,209",38,
E02000343,Greenwich 031,306,"10,485", -   , -   , -   ,487,"1,413", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,519",16,
E02000344,Greenwich 032,346,"9,836", -   , -   , -   ,602,"5,815",163, -   , -   , -   , -   , -   , -   , -   , -   ,"7,656",24,
E02000345,Hackney 001,87,"2,822", -   , -   , -   ,669,"6,110",327, -   ,455,"1,625", -   , -   , -   , -   , -   ,"4,770",17,
E02000346,Hackney 002,4,123, -   , -   , -   ,669,"5,075", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,445",9,
E02000347,Hackney 003,6,189, -   , -   , -   ,"4,104",364,163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,248",9,
E02000348,Hackney 004,132,"4,509", -   , -   , -   ,"4,028","7,293", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"4,335",21,
E02000349,Hackney 005,95,"3,069", -   , -   , -   ,621,"5,716",163, -   , -   , -   , -   , -   , -   , -   , -   ,"7,562",17,
E02000350,Hackney 006,23,779, -   , -   , -   ,456,"1,198", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,073",8,
E02000351,Hackney 007,21,712, -   , -   , -   ,669,"1,471",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,120",7,
